gid,pid,detail,off,def,type,qb,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,box,avt,pru,spru,blz,dblz,ttsk,pap,side,high,oop,shov,scre,qbp,qbhi,qbhu,htm,tay,dot,dotr,cov,cnb,crr,yac,yaco,mbt,drp,intw,back,defpr1,defpr2,defhi,defhu1,defhu2
5058,829263,(15:00) A.Jones left tackle to GB 25 for no gain (R.Smith).,GB,CHI,RUSH,AJ-1143,,AJ-1143,1,GB 25,1,10,25,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,,,,
5058,829264,(14:33) A.Rodgers pass short left to A.Jones to GB 25 for no gain (R.Smith).,GB,CHI,PASS,AR-1300,AJ-1143,,1,GB 25,2,10,25,2,0,0,0,0,0,1,0,7,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,-2,2,0,0,0,2,1,0,0,0,2,,,,,
5058,829265,"(13:45) (Shotgun) A.Rodgers sacked at GB 15 for -10 yards (R.Robertson-Harris). Penalty on GB-L.Taylor, Offensive Holding, declined.",GB,CHI,PASS,AR-1300,,,1,GB 25,3,10,25,2,-10,0,0,1,0,0,0,6,5,4,0,0,0,5.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RR-0850,,RR-0850,,
5058,829268,(12:33) (Shotgun) M.Davis left guard to GB 47 for 5 yards (K.Clark; D.Lowry).,CHI,GB,RUSH,MD-0150,,MD-0150,1,CHI 48,1,10,48,3,5,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,
5058,829269,(11:58) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson (P.Smith).,CHI,GB,PASS,MT-1800,AR-1250,,1,GB 47,2,5,53,3,,0,0,1,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,1,,,,,
5058,829270,(11:54) (Shotgun) M.Trubisky scrambles right tackle to GB 40 for 7 yards (R.Greene).,CHI,GB,RUSH,MT-1800,,MT-1800,1,GB 47,3,5,53,3,7,1,1,1,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,
5058,829271,(11:12) (Shotgun) M.Trubisky pass incomplete short left to T.Cohen.,CHI,GB,PASS,MT-1800,TC-1975,,1,GB 40,1,10,60,4,,0,0,1,0,0,0,6,3,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,23,15,3,0,0,0,0,0,0,0,0,1,ZS-0075,,,ZS-0075,
5058,829272,(11:07) (Shotgun) M.Trubisky right guard to GB 39 for 1 yard (A.Amos).,CHI,GB,RUSH,MT-1800,,MT-1800,1,GB 40,2,10,60,4,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,,,,,
5058,829273,(10:25) (Shotgun) M.Trubisky sacked at GB 45 for -6 yards (B.Martinez).,CHI,GB,PASS,MT-1800,,,1,GB 39,3,9,61,4,-6,0,0,1,0,0,0,7,4,5,0,2,2,2.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BM-0345,AA-0543,BM-0345,,
5058,829275,(9:39) (Shotgun) A.Rodgers pass incomplete short right to J.Graham.,GB,CHI,PASS,AR-1300,JG-2900,,1,GB 12,1,10,12,1,,0,0,1,0,0,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,1,,,,,
